Organizations,About,Technology,Category,Topics
MacPorts,Package manager for macOS,"tcl, c, python, scripting, web",End User Applications,"package management, macos, operating systems, build tools, libraries"
MariaDB Foundation,One of the most popular databases on the web with many notable users,"mariadb, mysql, c, c++,  java",Data and Databases,"databases, sql"
Matrix.org,"An open network for secure, decentralised communication","python, javascript,  nodejs, postgresql, go",Social / Communications,"decentralisation, realtime communications, federated, interoperability"
MBDyn - Multibody Dynamics,Scientific mechanical simulation tool for engineering research and development," python, c++, scripting",Science and Medicine,"mechanical engineering, aeronautics, multibody dynamics, aerodynamics, linear algebra"
MetaBrainz Foundation Inc,MetaBrainz curates and makes available metadata about music and books.,"python, perl, javascript, postgres, react",Data and Databases,"music, books, open data, metadata, community"
MIT App Inventor,Anyone Can Build Apps That Impact the World," java,  javascript,  android, google app engine, gwt",Programming Languages and Development Tools,"iot,  education, programming languages and development tools, mobile, api"
mlpack,"fast, flexible C++ machine learning library",c++,Data and Databases,"machine learning, data science, data mining, fast algorithms"
Moira,Moira is a realtime alerting system based on Graphite data,"golang,  javascript, typescript, grafana, graphite",Programming Languages and Development Tools," devops, alerting, monitoring, devtools, sre"
Moodle,Empowering educators to improve our world,"php,  javascript, sql, angular, ionic",Social / Communications," education,  web applications, e-learning, school system, learning management"
Mozilla,"The internet for people, not for profit.","javascript, python, rust, c++,  react",Web,"internet freedom, web technologies, privacy/security"
MuseScore,MuseScore is music notation software used by millions of musicians worldwide,"qt, c++, cmake",End User Applications,"music, notation, composing, midi, sheet music"
Named Data Networking Project,A Content-Centric Future Internet architecture,"java, android,  javascript, c++14, c#",Web,"networking, informationc centric networking, ipfs"
National Resource for Network Biology (NRNB),Developing open source software to enable network-based biomedical discovery,"java,  javascript, python, c++, web",Science and Medicine,"network biology, graphics, web application, scientific computing, data science"
Neovim,Vim-fork focused on extensibility and usability,"c, lua",Programming Languages and Development Tools,"editor, text editor, developer tools, system programming, cross-platform"
